76909|528431
764837|105284
997110|184748
506523|999846
886653|895315
394394|341138
59107|95063
19804|710214
880625|678109
199970|32463
404238|559628
709453|39053
92857|964978
976551|323242
351054|186082
474897|941209
880182|871007
795784|322494
597798|400331
893394|673914
878472|851526
360766|570133
257203|105313
143417|575173
921021|873466
542559|970697
950417|255190
86323|275900
751031|771627
936280|959575
78710|113207
84062|140462
135686|53749
495950|864100
580219|547183
75975|678309
151385|384064
180813|809422
810589|857232
385758|421575
842826|795298
700593|26851
411119|109474
244421|835460
981880|717498
297989|497719
503182|739602
942447|505640
271830|576880
214556|279707
523058|856679
522525|892456
642060|10180
481660|472307
482915|610240
744543|879419
218857|258387
664856|95805
378833|467544
735076|41535
940250|211030
264540|947231
861372|563643
945813|388863
90964|451304
277475|695361
548|821873
513818|778802
743542|630118
574201|365611
836216|582196
69303|463950
725829|664100
662738|743674
557168|321316
758372|998048
855004|962746
253253|259432
760153|763882
645297|708338
319235|240229
539255|957567
944879|672734
225464|804571
959347|561576
8407|949742
835001|661041
373210|920486
73983|287654
516036|321060
262013|644973
127091|354089
787126|659208
897877|666082
260635|939298
914300|493321
545736|478868
92698|686254
2702|572261
158052|480484
351819|544375
721051|590867
132850|580581
77864|978432
327208|983433
303177|90193
256488|652859
856381|663660
955373|199773
823803|759529
470159|943666
505456|254269
787755|540445
491081|30471
146379|724727
977144|987984
108968|515484
326227|729971
622486|476748
897601|195442
825307|685721
120280|597060
794194|885836
940179|284818
608595|956663
684834|425843
149024|318413
806206|692515
905646|418731
224198|775322
718678|9154
946886|489557
789709|614268
120859|893219
13122|205329
334618|635096
12830|528779
778226|37327
118860|156312
390018|157326
359588|165410
569259|471907
140251|3137
951396|214323
888072|405070
408833|491224
201289|89547
870855|568986
651495|698836
60077|66457
154488|457571
441468|319896
614576|325664
675118|295069
996247|566792
399390|928654
469523|444425
727507|277099
946841|573773
586652|795014
703136|289357
473526|805270
697291|874429
328661|119506
375904|175100
386696|1203
838308|941281
359309|534434
538535|958288
954325|644087
689087|78991
505003|444371
608385|72226
832829|616979
329473|617220
879887|351487
10200|451802
925535|833255
371356|372648
475493|718566
227405|67939
647146|118566
779096|778040
590564|66431
629023|93292
748797|239772
506267|733960
273473|157527
254801|939143
447208|594102
483677|19204
224075|369209
733407|738829
321157|532411
561888|595070
526672|394556
769251|400671
350690|156469
482177|335897
365627|577438
371083|79698
726988|974799
799530|614330
902960|146054
697796|756318
439806|951442
794921|769734
750589|747150
229320|566577
939413|814921
264663|574219
479851|567643
360071|1426
139707|112362
855005|420058
753943|550434
430772|142015
622635|482095
621173|774029
780618|662397
4834|628318
244894|926856
696348|869222
11417|739297
99028|171751
236225|826998
907018|460813
467345|757958
453493|651517
826686|581723
486165|414418
758804|350672
572722|703247
105565|693068
389073|558132
542000|487843
981891|484056
638306|828338
3319|800401
95163|688022
66028|725513
678482|498267
948696|614829
245498|436954
782050|110952
528286|955014
415847|515829
959325|345542
79758|401538
876512|198597
781099|278503
255243|807467
419128|203630
200604|317545
952419|272918
241260|38188
548648|86528
609936|541233
713419|770897
304425|946892
787908|876563
260919|119871
209352|943039
204004|785878
261120|233426
348330|609990
417900|145249
309131|62182
717286|226743
542078|807233
894032|95467
370275|964448
115043|470860
878606|381072
394046|800211
265716|775254
527542|801501
243585|521592
567353|173139
768659|753206
99164|59175
850064|233989
657890|471945
385246|706746
698398|802478
170893|633741
144152|968160
798839|758083
985985|559026
486824|873497
296659|986111
596715|526623
317317|34025
196014|597743
434370|862585
936916|740946
151684|449619
285712|601527
762551|449265
826370|28508
744286|784528
708068|976101
